epsilon,bertf1_seed0_k1,bertf1_seed0_k5,bertf1_seed0_k10,bertf1_seed1_k1,bertf1_seed1_k5,bertf1_seed1_k10,bertf1_seed2_k1,bertf1_seed2_k5,bertf1_seed2_k10,bertprecision_seed0_k1,bertprecision_seed0_k5,bertprecision_seed0_k10,bertprecision_seed1_k1,bertprecision_seed1_k5,bertprecision_seed1_k10,bertprecision_seed2_k1,bertprecision_seed2_k5,bertprecision_seed2_k10,bertrecall_seed0_k1,bertrecall_seed0_k5,bertrecall_seed0_k10,bertrecall_seed1_k1,bertrecall_seed1_k5,bertrecall_seed1_k10,bertrecall_seed2_k1,bertrecall_seed2_k5,bertrecall_seed2_k10,rouge1_seed0_k1,rouge1_seed0_k5,rouge1_seed0_k10,rouge1_seed1_k1,rouge1_seed1_k5,rouge1_seed1_k10,rouge1_seed2_k1,rouge1_seed2_k5,rouge1_seed2_k10,rouge2_seed0_k1,rouge2_seed0_k5,rouge2_seed0_k10,rouge2_seed1_k1,rouge2_seed1_k5,rouge2_seed1_k10,rouge2_seed2_k1,rouge2_seed2_k5,rouge2_seed2_k10,rougeL_seed0_k1,rougeL_seed0_k5,rougeL_seed0_k10,rougeL_seed1_k1,rougeL_seed1_k5,rougeL_seed1_k10,rougeL_seed2_k1,rougeL_seed2_k5,rougeL_seed2_k10
0.1,0.7611151933670044,0.7745149731636047,0.7881744503974915,0.7789803147315979,0.7691121101379395,0.7887083292007446,0.7768728137016296,0.7822362780570984,0.7795850038528442,0.7163004875183105,0.7392591238021851,0.7433207035064697,0.7348184585571289,0.7157508730888367,0.7456395626068115,0.7257992029190063,0.7385618686676025,0.730286717414856,0.8119117021560669,0.8133020997047424,0.8387889862060547,0.8287897109985352,0.8310707807540894,0.8370574712753296,0.8356785774230957,0.8314008116722107,0.8360209465026855,0.0980392156862745,0.11188811188811187,0.08219178082191782,0.064,0.10204081632653061,0.06944444444444445,0.10687022900763359,0.08284023668639053,0.07194244604316548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.08391608391608392,0.0547945205479452,0.064,0.0816326530612245,0.041666666666666664,0.0916030534351145,0.0591715976331361,0.05755395683453238
0.5,0.7560586929321289,0.7923402190208435,0.7807939648628235,0.7974377870559692,0.7954777479171753,0.7879870533943176,0.807437539100647,0.7854236364364624,0.7729933857917786,0.688338041305542,0.7499269843101501,0.734512209892273,0.766515851020813,0.7542825937271118,0.7443035244941711,0.7760952711105347,0.7420368194580078,0.7255877256393433,0.8385584354400635,0.8398383855819702,0.8333003520965576,0.8309594392776489,0.8414326310157776,0.8371178507804871,0.8414179086685181,0.8341990113258362,0.8270264863967896,0.06134969325153374,0.054945054945054944,0.06857142857142857,0.07207207207207207,0.06818181818181819,0.05434782608695652,0.06926406926406926,0.07317073170731707,0.07246376811594202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03680981595092024,0.054945054945054944,0.05714285714285714,0.04504504504504504,0.05681818181818182,0.03260869565217391,0.04329004329004329,0.04878048780487805,0.057971014492753624
1.0,0.8447259664535522,0.8213399648666382,0.7559114694595337,0.8396319150924683,0.8036625981330872,0.7800301313400269,0.8122993111610413,0.8023843169212341,0.7733370065689087,0.8392385244369507,0.7885891199111938,0.6941512823104858,0.8150094747543335,0.7704241871833801,0.7344606518745422,0.7669137120246887,0.7647102475166321,0.7364770174026489,0.8502854704856873,0.8569289445877075,0.8297348618507385,0.865788459777832,0.8398983478546143,0.8316284418106079,0.863394558429718,0.8439628481864929,0.814081072807312,0.15,0.06808510638297872,0.1492537313432836,0.1724137931034483,0.06896551724137932,0.08917197452229299,0.0855614973262032,0.0625,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.0,0.0,0.09999999999999999,0.03404255319148936,0.08955223880597016,0.06896551724137932,0.03940886699507389,0.07643312101910829,0.053475935828877004,0.05357142857142857,0.036585365853658534
2.0,0.8619728684425354,0.8078635334968567,0.8256134986877441,0.82203608751297,0.8168125152587891,0.8288134336471558,0.8628281354904175,0.8304144740104675,0.80892413854599,0.8494446873664856,0.7788686752319336,0.7865917682647705,0.7932963967323303,0.7872650623321533,0.7908178567886353,0.8491092920303345,0.7879963517189026,0.7772698402404785,0.8748760223388672,0.8391005992889404,0.8687089681625366,0.8529364466667175,0.848664402961731,0.8706443905830383,0.8769975900650024,0.8776592016220093,0.8432661890983582,0.1904761904761905,0.05172413793103448,0.07692307692307693,0.11594202898550723,0.0588235294117647,0.0759493670886076,0.1568627450980392,0.09649122807017545,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017699115044247787,0.0,0.14285714285714288,0.043103448275862065,0.042735042735042736,0.08695652173913045,0.03361344537815126,0.05063291139240506,0.0784313725490196,0.05263157894736842,0.03389830508474577
5.0,0.8674193620681763,0.8661240935325623,0.8665766716003418,0.8609433770179749,0.8334530591964722,0.8611348867416382,0.854193389415741,0.8502709269523621,0.8414817452430725,0.8570665121078491,0.8494287133216858,0.848097026348114,0.8509587645530701,0.7990763187408447,0.8384365439414978,0.8614681959152222,0.837752103805542,0.8163371682167053,0.8780254125595093,0.8834890127182007,0.8858795762062073,0.8711650967597961,0.8709205389022827,0.8850963711738586,0.8470404148101807,0.8631695508956909,0.868224561214447,0.18181818181818185,0.15625,0.2962962962962963,0.1951219512195122,0.08955223880597016,0.21052631578947367,0.13333333333333333,0.12244897959183673,0.10434782608695653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363638,0.09375000000000001,0.2222222222222222,0.0975609756097561,0.04477611940298508,0.10526315789473684,0.13333333333333333,0.08163265306122448,0.08695652173913043
10.0,0.8394118547439575,0.8618210554122925,0.8581090569496155,0.8745225071907043,0.8671799898147583,0.8610683679580688,0.8352577090263367,0.8191326856613159,0.842989981174469,0.8335160613059998,0.8542464375495911,0.8227763175964355,0.8617491126060486,0.8553345203399658,0.8432804346084595,0.8079007267951965,0.7968904376029968,0.8295271992683411,0.8453916311264038,0.8695312142372131,0.8966125249862671,0.887680172920227,0.879358172416687,0.8796229958534241,0.8645322322845459,0.8426523208618164,0.8568969964981079,0.06451612903225808,0.18181818181818185,0.20512820512820512,0.23255813953488372,0.11538461538461539,0.1090909090909091,0.1111111111111111,0.05517241379310345,0.1276595744680851,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225808,0.09090909090909093,0.1282051282051282,0.18604651162790697,0.07692307692307691,0.1090909090909091,0.07936507936507937,0.05517241379310345,0.0851063829787234
50.0,0.8600462675094604,0.8626962900161743,0.8630495071411133,0.8597257733345032,0.8600462675094604,0.8551521897315979,0.8600462079048157,0.8745225071907043,0.8597257733345032,0.8528340458869934,0.8528125286102295,0.853042721748352,0.8498696088790894,0.8528340458869934,0.8490865230560303,0.8528339862823486,0.8617491126060486,0.8498696088790894,0.8673815131187439,0.8728117942810059,0.8732938766479492,0.8698131442070007,0.8673815131187439,0.8613051176071167,0.8673815131187439,0.887680172920227,0.8698131442070007,0.14285714285714288,0.1951219512195122,0.15384615384615383,0.1951219512195122,0.14285714285714288,0.10256410256410256,0.14285714285714288,0.23255813953488372,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809525,0.0975609756097561,0.10256410256410256,0.0975609756097561,0.09523809523809525,0.10256410256410256,0.09523809523809525,0.18604651162790697,0.0975609756097561
100.0,0.8600462675094604,0.8600462675094604,0.8745225071907043,0.8600462675094604,0.8745225071907043,0.8600462079048157,0.8600462675094604,0.8600462079048157,0.8600462079048157,0.8528340458869934,0.8528340458869934,0.8617491722106934,0.8528340458869934,0.8617491126060486,0.8528339862823486,0.8528340458869934,0.8528339862823486,0.8528339862823486,0.8673815131187439,0.8673815131187439,0.887680172920227,0.8673815131187439,0.887680172920227,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.14285714285714288,0.14285714285714288,0.23255813953488372,0.14285714285714288,0.23255813953488372,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809525,0.09523809523809525,0.18604651162790697,0.09523809523809525,0.18604651162790697,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525
120.0,0.8600462079048157,0.8600462079048157,0.8600462079048157,0.8600462079048157,0.8600462079048157,0.8600462079048157,0.8600462079048157,0.8600462079048157,0.8579397797584534,0.8528339862823486,0.8528339862823486,0.8528339862823486,0.8528339862823486,0.8528339862823486,0.8528339862823486,0.8528339862823486,0.8528339862823486,0.846558153629303,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8673815131187439,0.8696315884590149,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.10526315789473685
